id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,language,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,happy|uplifting|sunny,english,false
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,64,2020,chill|focused|mellow,instrumental,false
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,intense|driving|energetic,english,false
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,chill|calm|rainy,instrumental,false
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,81,2020,energetic|hype|aggressive,english,true
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2010,chill|dreamy|ethereal,instrumental,false
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,47,2000,relaxed|warm|nostalgic,instrumental,false
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,55,1980,moody|nostalgic|nocturnal,instrumental,false
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,61,2020,focused|calm|steady,instrumental,false
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2010,happy|uplifting|breezy,english,false
11,Concrete Verses,Grid MC,hip hop,confident,0.71,95,0.62,0.85,0.12,83,2020,confident|bold|gritty,english,true
12,Moonlit Sonata Drift,Clara Vale,classical,melancholy,0.30,68,0.35,0.28,0.94,35,1990,melancholy|tender|reflective,instrumental,false
13,Island Time,Sun Cadence,reggae,mellow,0.55,98,0.78,0.80,0.40,66,2000,mellow|sunny|carefree,english,false
14,Dusty Backroads,Hollow Pines,country,nostalgic,0.48,102,0.66,0.63,0.72,52,1990,nostalgic|warm|wistful,english,false
15,Neon Overdrive,Pulsegrid,edm,euphoric,0.95,128,0.72,0.90,0.04,79,2010,euphoric|hype|energetic,instrumental,false
16,Velvet Heartache,Ruby Slow,blues,romantic,0.44,84,0.41,0.52,0.68,44,1980,romantic|melancholy|soulful,english,false
17,Iron Requiem,Blacktide,metal,aggressive,0.97,160,0.30,0.55,0.06,69,2010,aggressive|intense|dark,english,true
18,Paper Boats,Willow Ffield,folk,dreamy,0.33,88,0.58,0.47,0.90,38,2000,dreamy|tender|gentle,english,false
19,Groove Machine,Funkadelphia,funk,playful,0.80,116,0.85,0.91,0.20,60,1980,playful|groovy|upbeat,english,false
20,After Hours Soul,Midnight Ivory,r&b,sensual,0.52,92,0.60,0.74,0.33,57,2020,sensual|smooth|romantic,english,true
